Temperature_C,MMR
27,599.5
27,593.8
27,914.5
28.5,423.6
28.5,418.8
28.5,536.6
28.5,525
29,1193
29,937.9
29,1120.5
29,775.5
27,599.5
27,593.8
27,914.5
28.5,423.6
28.5,418.8
28.5,536.6
28.5,525
29,1193
29,937.9
29,1120.5
29,775.5
28.5,423.6
28.5,418.8
28.5,536.6
28.5,525
29,1193
29,937.9
29,1120.5
29,775.5
30,427.7
30,441.7
30,628.8
30,589.6
31,1243.8
31,1068.8
31,1313.4
31,989.1
31.5,429.8
31.5,422.9
32,1135.5
32,1002.9
32,1240.4
33,1022.1
33,1297.7
33,741.7
12,259.6
20,211.6
28,347.8
29,732.2
31,723.2
33,565
34,382.5
27,1100.8
29,1416.8
29,1467.2
29,1697.2
29,1611.5
27,1100.8
29,1416.8
29,1467.2
29,1697.2
29,1611.5
29,1416.8
29,1467.2
29,1697.2
29,1611.5
31,1517.6
31,1561.3
31,1230.5
32,1514.3
32,1473.9
32,1786.9
33,1289.1
33,1600
33,1178.3
34,1051.5
27,1340.6
29,1573.8
29,758.2
29,911.9
31,1402.5
31,984.8
31,1193.5
32,1283.7
32,839.5
32,1029.9
33,859.9
33,1060.6
5,234.7
5,138.7
10,330.7
10,261.3
15,581.3
15,458.7
20,656
20,544
25,1333.3
25,965.3
30,1397.3
30,1216
33,970.7
33,944
2,146.8
2,177.3
2,65
2,131.9
5,192.1
5,166.2
5,120
5.1,174.7
10,264.7
10,232.8
10,177
10.1,214.1
15,239.7
15,221.6
15,300.6
20,231
20,245
20,321.2
23,407.5
29,532.5
29,527.1
35,752.6
38,915.6
38,622.2
4,120.3
9,170.8
14,182.1
5,366
8,452.9
10,492
10,492
12,586.4
15,683.2
15,552
18,759.2
20,592
21,782.7
25,680.6
25,588
27,895.6
29,1124.9
29,843
29,680.4
27,895.6
29,1124.9
29,843
29,680.4
31,1225.5
31,968.3
31,737.9
32,1139.8
32,790.9
33,1031.8
33,1001.6
34,1009.4
6,106.9
10.1,124.3
14.1,179.3
18,219
21.9,223.4
5,58.7
10,97.5
15.1,138
20.1,157
25,117.4
10,296.4
15,468.7
20,701.6
25,1088.5
30,1195.3
25,1088.5
25,1088.5
29,874
29,874
31,997.5
31,997.5
33,1084.4
34,617.4
18,454
28,679
22,542
25,675
